pincode,circle,region,division,offices
626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO, Mudalipatti BO, Naranapuram BO, Sinnakamanpatti BO, Sithurajapuram BO, Viswanatham BO"
626201,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Elayirampannai SO, Karisalpatti BO, Panayadipatti BO, Sankarapandiapuram BO"
626202,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Nenmeni SO, Chockalingapuram BO, Irukkangudi BO, Kosugundu BO, Masarpatti BO, Mavilpatti BO, Nathathupatti BO"
626203,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sattur SO, ARamalingapuram BO, Gollapatti BO, Mettamalai BO, Naduvapatti BO, Othayal Mettupatti BO, Padanthal BO, Settudayanpatti BO, Surangudi BO, Thungareddiapatti BO, Sattur West SO, Venkatachalapuram BO"
626204,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Ramasamy Raja Nagar SO, Appayanaickenpatti BO, Avudayapuram BO, Kottaiyur Gurusamy koil BO, A Pudupatti BO, TSedapatti BO, Thulukkapatti BO, Thulukkapatti RS BO"
626205,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Uppathur SO, Karuppur BO, Mulliseval BO, NSubbiahpuram BO, Nalli BO, Odaipatti BO"
626607,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Narikudi SO, Alagapuri BO, Isali BO, Maraikulam BO, Nalur BO, Siruvanur BO, Ulagudi BO"
626612,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Viracholan SO, Dharmam BO, Irunjirai BO, Peruvelangudi BO"
627001,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli HO, Tirunelveli RS SO, Viraraghavapuram SO, Sikkanarasingarayagramam BO"
627002,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Palayankottai HO, Santhinagar SO, Kulavanickerpuram SO, Palayankottai Courts SO, Samadanapuram SO"
627003,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vannarpettai SO
627004,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli Pettai SO, Tirunelveli Pettai East SO"
627005,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Melapalayam SO Tirunelveli, Melapalayam BazaarTirunelveli SO"
627006,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirunelveli Town SO, Kunnathur BO, Melathiru Vengadanathapuram BO, Tirunelveli Merku SO, Tirunelveli Terku SO, Tondar Bazar SO, Pattapathu BO"
627007,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Perumalpuram SO, Konganthanparai BO, Reddiarpatti BO, Jawahar Nagar Tirunelveli SO"
627008,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Gandhinagar SO Tirunelveli, Palayapettai BO"
627009,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Tirunelveli Collectorate SO
627010,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Industrial Colony Pettai SO, Kallur BO, Kiramangalam BO, Kodaganallur BO, Tiruppanikarisalkulam BO, Vaduganpatti BO"
627011,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Maharajangar SO, Krishnapuram BO, Sivanthipatti BO, K T C Nagar SO, Palayankottai High Grounds SO, Vijayaraghava Mudaliar Chatram BO"
627012,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Manonmaniam Sundaranar Univers SO, Seethaparpanallur BO, Vellalankulam BO"
627101,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Dalapathisamudram SO, Nallankulam BO, Rajackamangalam BO, Thulukkarpatti BO"
