pincode,circle,region,division,offices
628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O, Villiseri B.O"
628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O, Nagampatti B.O, Sillankulam B.O"
628720,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Turaiyur S.O, Irachi B.O, Kamanaickanpatti B.O, Koppampatti B.O, Mudukkalankulam B.O, Semmapudur B.O"
628721,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Vanaramutti S.O, Alagappapuram B.O, Kalangaraipatti B.O, Kattalankulam B.O, Nachiyarpuram B.O, Pillaiyarnatham B.O, Zamindevarkulam B.O"
628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O"
628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O"
628752,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Perungulam S.O (Tuticorin)
628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O
628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O"
628802,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Siruthondanallur S.O, Arumugamangalam B.O, Idaiyarkadu B.O, Maramangalam B.O, Kottarakurichi B.O"
628809,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Seydunganallur S.O, Anavaradanallur B.O, Vittilapuram B.O"
628851,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Ellanaickenpatti S.O, Aniaparanallur B.O, Pottalurani B.O, Pudupatti B.O, Singathakurichi B.O, Vadakkukariseri B.O"
628901,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Ariyanayagipuram S.O, Melmandai B.O, Surangudi B.O, Tattaneri B.O"
628902,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Ettaiyapuram S.O, Chinnamalaikundru B.O, Ilambuvanam B.O, Kadalai B.O, Kalugachalapuram B.O, Muthulapuram B.O, Nambipuram B.O, Padanthapuli B.O, Perilovanpatti B.O, Pillaiyarnatham B.O, Sindalakarai B.O, Thalaikattupuram B.O"
628903,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kulathur (TVL) S.O, Kilavaippar B.O, Sippikulam B.O, Vaippar B.O, Veppalodai B.O"
628904,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nagalapuram S.O (Tuticorin), Attankarai B.O, Duraisamypuram B.O, Guruvarpatti B.O, Kilakarandai B.O, Sankaralingapuram B.O, Vedapatti B.O, Vowalthothi B.O"
628905,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pudur S.O, Boothalapuram B.O, Kandasamypuram B.O, Kilaarunachalapuram B.O, L.Venkateswarapuram B.O, Maniyakaranpatti B.O, Mettilpatti B.O, Sennamareddipatti B.O, Sivalarpatti B.O, Vembur B.O"
628906,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Vembar S.O, Periyasamipuram B.O"
628907,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Vilathikulam S.O, Bommiahpuram B.O, Kadalkudi B.O, Karisalkulam B.O, Kilavilathikulam B.O, Meenakshipuram B.O, Ramachandrapuram B.O, V.Vedapatti B.O, Vadamalaisamudram B.O"
628908,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kilairal S.O, Pungavarnatham B.O, Sholapuram B.O"
628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O, Moortheeswaram B.O, Pannikulam B.O, Therkkuilandaikulam B.O, Vellalankottai B.O"
629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O, Krishnancoil B.O, Catherin Booth Hospital S.O, Nagercoil Bazaar S.O, Nagercoil Collectorate S.O, Nagercoil Town S.O, Nagercoil West S.O, Oluganacheri S.O, Vadasery S.O, Vadiveeswaram S.O"
629002,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Edalakudy B.O, Kottar S.O, Irulappapuram B.O, Maravankudiyiruppu S.O"
629003,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chunkankadai B.O, Kaniyakulam B.O, Peruvilai B.O, Vetturnimadam S.O, Parvathipuram B.O"
629004,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Erumbukadu B.O, Nagercoil Industrial Estate S.O"
629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O, Netta B.O, Pathukani B.O, Kaliyal S.O"
629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O
629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O, Arumanai S.O"
629152,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Cheruvallur B.O, Ilanchirai B.O, Malamary B.O, Mancode B.O, Meppalai B.O, Ramavarmanchirai B.O, Vellachiparai B.O, Idaikkode S.O"
629153,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chathancode B.O, Kulapuram B.O, Malayadi B.O, Meenachel B.O, Sooriacode B.O, Adaikkakuzhi B.O, Kaliakkavilai S.O"
629154,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Nithiravilai B.O, Kanjampuram S.O"
629155,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kanjiracode S.O
629156,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kappiyarai S.O
