pincode,circle,region,division,offices
630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O"
630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O, Peerkalaikadu B.O, Periakottai B.O, Sakkavayal B.O, Sakkottai B.O, Sithivayal B.O"
630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O"
630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O"
630203,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Kandavarayanpatti SO, Mahibalanpatti BO, Vaiyakalathur BO, Velangudi BO"
630204,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Kandramanickam SO, Naduvikottai BO, PKarungulam BO, Pattamangalam BO"
630205,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Kilasevalpatti S.O, Avanipatti B.O, Ilayathakudi B.O"
630206,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Kunnakudi S.O, Koratti B.O"
630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O, Siravayal B.O, Kambanur B.O"
630208,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"O.Siruvayal S.O, Palavangudi B.O"
630210,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Tirukoshtiyur SO, Bhramanampatti BO, Kattambur BO, MPudur BO"
630211,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Tirupattur SO, Alampatti BO, Ayyapatti BO, Karaiyur BO, Kottaiyiruppu BO, Nedumaram BO, Ranasingapuram BO, SSKottai BO, Sevalpatti BO, TPudupatti BO, Tirukalapatti BO, Sm Hospital SO, Tirupattur Bus Stand SO, Arumuganagar BO"
630212,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Viramathi S.O, Iraniyur B.O, Sirukudalpatti B.O, N.Vairavanpatti B.O"
630301,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,Amaravathipudur S.O
630302,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Devakottai H.O, Devakottai Palace S.O, Devakottai South S.O, Devakottai West S.O, Karuthavoorani B.O, Silambani B.O"
630303,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Arakottai B.O, Eluvankottai B.O, Devakottai Extension S.O, Hanumanthagudi B.O, Kannangudi B.O, Maviduthikottai B.O, Teralapur B.O, Tiruppakottai B.O, Vengalore B.O"
630305,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Kallal SO, ASiruvayal BO, Kilapungudi BO, Kurunthampattu BO, Padathanpatti BO, Pilar BO, Sevarakottai BO, Veppangulam BO"
630306,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Kallupatti S.O (Sivaganga), Visalayankottai B.O"
630307,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Managiri S.O, Alangudi B.O, Kuthalur B.O, Patharakudi B.O, Kovilur B.O"
630309,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pulidipatti S.O, Dharmapatti B.O, Karisalpatti B.O, Musundapatti B.O, Piranpatti B.O"
630311,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Periyakarai S.O, Pavanakottai B.O, Velayuthapattinam B.O"
630312,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puliyal S.O, Kiliyur B.O, Neivayal B.O, T.Nagani B.O, Thidakottai B.O"
630313,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Sembanur SO, Chockanathapuram BO, Keelakottai BO"
630314,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Shanmuganathapuram S.O, Kandadevi B.O"
630321,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Vethiyur SO, AKarungulam BO"
630405,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nerkuppai S.O, Konnathanpatti B.O, Pulankurichi B.O, Sevvur B.O, Tirukolakudi B.O, Tuvar B.O"
630408,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Tiruvegampet SO, Kavathugudi BO, Keelauchani BO, Sekkakudi BO, Vilangattur BO"
630410,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Ulagampatti S.O, Kattukudipatti B.O, Kilavayal B.O, Mandakudipatti B.O, Neduvayal B.O, Tiruvalandur B.O, V.Pudur B.O, Varapur B.O"
630411,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Sarakeni SO, Kumaravelur BO, Puliyadithamam BO, SN Pattinam BO, Sokkananthapuram BO, Thirani BO, Uruvati BO"
630501,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"CVmangalam S.O, Kalapur B.O, Kallampatti B.O, Muraiyur B.O, Surakudi B.O, Vaiyapuripatti B.O"
630502,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Singampunari S.O, Kannamangalapatti B.O, Kirungakottai B.O, Melapatti B.O, Piranmalai B.O, Vengaipatti B.O"
630551,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Kalayarkoil SO, Andichoorani BO, KSukkanurani BO, Marakathur BO, Marathur BO, Mudikarai BO, Pallithammam BO, Paruthikanmoi BO, Pulikanmoi BO, Thuvaralankanmoi BO"
630552,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Kilapungudi SO, Tirumalaikoneripatti BO"
630553,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Madagupatti SO, Alagamanagiri BO, Alavakottai BO, Kattanipatti BO, Namanur BO"
630554,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Mangalam SO Sivaganga, Melamarungur BO, Pahaianchan BO, Silukkapatti BO, Siramam BO, Usilangulam BO, Velarendal BO"
630555,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Natarajapuram SO Sivaganga, Kalakanmoi BO, Satharasanpatti BO, Sengulipatti BO, Panangudi BO"
630556,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Nattarasankottai SO, Alagapuri BO, Muthur BO, Vittaneri BO, Panangadi BO"
630557,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Okkur SO, Kalayarmangalam BO, Nalukottai BO, Sholapuram BO"
630558,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Paganeri SO, Nagarampatti BO"
630559,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Periakottai SO, Kallurani BO, Mutharasan BO, Vembattur BO"
630561,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Sivaganga HO, Bosenagar SO Sivaganga, Jawahar Bazaar SO, Sivaganga Courts SO, Sivaganga North SO"
630562,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Sivaganga Collectorate SO, Athapadakki BO, Enathi BO, Idayamelur BO, Kanakkangudi BO, Kandangipatti BO, Kandani BO, Kanjirangal BO, Koothandam BO, Malampatti BO, Mudikandam BO, Muthupatti BO, Padamathur BO, Periyakannanur BO, Pillur BO, Sakkandhi BO, Salur BO, Satharasankottai BO, Surakulam Pudukottai BO, Tamarakki BO, Tirumanjolai BO"
630566,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Eriyur SO, Aralikottai BO, Mallakottai BO"
630602,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Muthanendhal BO, Idaikattur SO"
630606,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Manamadurai HO, Kannar Street SO, Manamadurai RS SO, Manamadurai Town SO"
630609,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Rajagambiram SO, Chinnakannanur BO, Kattikulam BO, Kilamelgudi BO, Kilapasalai BO, Melapasalai BO, Melapidavur BO, Milaganoor BO, SKaraikudi BO, Saveriarpattinam BO, Seikalathur BO"
630610,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Tiruppachetti SO, Kanur BO, Kattanur BO, Kothangulam BO, Maranadu BO, Palayanur BO, Thanjakur BO, Uluthimadai BO, Vellikurichi BO"
630611,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Tiruppuvanam SO, AMukkulam BO, Allinagaram BO, Kalugarkadai BO, Ladanendal BO, Manalur BO, Melarangiam BO, Piramanur BO, Poovanthi BO, Pulvoikarai BO, Valacheri BO, Tiruppuvanam Pudur SO"
