pincode,circle,region,division,offices
630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO, Konthagai North BO"
630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO, Keelayur BO, Kottaiyur BO, Melayur BO, Nettur BO, North Andakudi BO, Uthamanoor BO, Ilayangudi West SO"
630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO, Melaseithur BO, Nagamuguthangudi BO, Sathani BO, Sothugudi BO, Thayamangalam BO"
630710,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Salaigramam SO, Kalagathankottai BO, Muthur BO, Samudram BO, Sathanur BO, Thogavur BO, Vandal BO"
630713,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Suranam SO, Akkavayal BO, Alavidangan BO, Rajani BO, Sakkur BO, Viswanoor BO"
631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore"
631002,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Palanipet SO, Ammanur BO, Kilandurai BO, Nagavedu BO, Parithiputhur BO, Perumuchi BO, Sirunamalli BO"
631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO, Ichiputhur BO, Kainoor BO, Kilandur BO, Kilpakkam BO, Kumpinipet BO, Mudur BO, Perungalathur BO, Thanigaipolur BO, Vadamambakkam BO, Valaikulam BO"
631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O, Mosur BO, Puliyamangalam BO, Seyyoor BO"
631005,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Winterpet SO
631006,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ins Rajali SO
631051,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Namali SO, Attupakkam BO, Ganapathipuram BO, Kilvenkatapuram BO, Pallur BO, Sayanavaram BO, Sendamangalam BO, Tirumalpur BO, Kilvenbakkam BO"
631052,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Panapakkam SO, Jagirthandalam BO, Karnavur BO, Melapulam BO, Peruvalayam BO, Pillaipakkam BO, Reddivalam BO, Ulianallore BO"
631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO, Nandiveduthangal BO"
631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO, Kesavanankuppam BO, Kodakkal BO, Kondapalayam BO, Pandianallore BO, Perunkanchi BO, Rendadi BO, Somasamudram BO, Talikkal BO, Vangupattu BO, Sholingur SO, Sholingur Bazaar SO"
631151,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Arigilapadi BO, Iluppaithandalam BO, Kadambainallore BO, Takkolam SO, Mangattucherry BO, Sagayathottam BO, Uriyur BO"
631152,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Suraksha Cisf Campus SO
631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O"
631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O, Karlambakkam B.O, Kodivalasa B.O, Konasamudram B.O, Kothakuppam B.O, Nochili B.O"
631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O, Pandur B.O, Pattaraiperumbudur B.O, Pudumavilangai B.O, Selai B.O, Senji B.O, Tirupasur B.O, Vidaiyur B.O"
631204,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kanakammachatram S.O, Arcot B.O, Illuppur B.O, Kanchipadi B.O, Muthukondapuram B.O, Nabalur B.O, Nedambaram B.O, Ramanjeri B.O, Ramapuram B.O"
631205,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kg Kandigai S.O, Beerakuppam B.O, Cherukkanur B.O, Koramangalam B.O, Mambakkam B.O, S.Agraharam B.O, Sirugumi B.O, T.C.Kandigai B.O, Thadur B.O, V.K.N.Kandigai B.O, Veerakaverirajapuram B.O"
631206,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Madduru S.O, Buchireddipalli B.O, Krishnasamudram B.O, Ramasamudram B.O"
631207,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Pallipat S.O, Echambadi B.O, Karimbedu B.O, Kolathur B.O, Konetampet B.O, Kumararajupeta B.O, Nediyam B.O, Punyam B.O, Samanthavada B.O, Sanakuppam B.O, Veliagaram B.O, Venkatarajakuppam B.O"
631208,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Podaturpeta S.O, Bommarajupeta B.O, C.N.Kandigai B.O, Jangalapalli B.O, Kakalur B.O, Keechalam B.O, Nedigallu B.O, Pandravedu B.O, Perumanallur B.O, Pettaikandigai B.O, Savattur B.O, Sorakayapeta B.O, T.T.Kandigai B.O"
