pincode,circle,region,division,offices
628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O, Nathankinar B.O, Subramaniapuram B.O, Therikudiyiruppu B.O"
628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O, Kulasekarapatnam South B.O, Madavankurichi B.O, Sirunadarkudiyiruppu B.O, Thandavankadu B.O"
628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O, Sethukuvaithan B.O, Suganthalai B.O, Varandiavel B.O"
628208,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Manaduthandapathu S.O, Seerkatchi B.O"
628209,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Manapad S.O
628210,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Megnanapuram S.O, Anaiyur B.O, Kalvilai B.O, Kilaramasamypuram B.O, Lakshmipuram B.O, Semmarikulam B.O, Solaikudiyiruppu B.O, Ilanganathapuram B.O"
628211,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Nalumavadi S.O, Idaiyanvilai B.O"
628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O"
628213,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Paramankurichi S.O, Kuthiraimozhi B.O, Nadunallumoolaikinar B.O, Seerudaiyarpuram B.O"
628215,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tiruchendur H.O, Tiruchendur Devasthanam S.O, Amalinagar B.O"
628216,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Virapandianpatanam S.O
628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O
628218,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mannanvilai S.O, Jerusalempatnam B.O, Pallipathu B.O, Vallivilai B.O"
628219,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Vellalanvilai S.O, Pitchivilai B.O"
628229,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sahupuram S.O
