pincode,circle,region,division,offices
629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O"
629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O"
629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O"
629175,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Thuckalay H.O, Mulachel B.O, Puliyurkurichi B.O, Mettukadai S.O, Padmanabhapuram Fort S.O"
629176,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Poothurai B.O, Thuthur S.O"
629177,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Aruvikkarai B.O, Attur B.O, Chenkody B.O, Moovattumugham B.O, Veeyannur B.O, Tiruvattar S.O"
629178,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Mangalakunnu B.O, Udayamarthandam S.O"
629179,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Unnamalakada S.O
629180,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Kumaracoil B.O, Manakarai B.O, Villukuri S.O, Madathattuvilai B.O"
629193,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Enayam B.O, Enayamputhenthurai B.O, Ramanthurai B.O, Keezhkulam S.O"
629201,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Anandanadarkudy B.O, Santhapuram B.O, Asaripallam S.O"
629202,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Azhikkal B.O, Muttom S.O"
629203,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Saral Agasteeswaram B.O, Friday Market S.O"
629204,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Kalpadi B.O, Ammandivilai S.O"
629251,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Kodimunai B.O, Kurumpanai B.O, Vaniyakudi B.O, Colachel S.O, Colachel Port S.O"
629252,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Azhakamparai B.O, Kadiyapattanam B.O, Mondaikad B.O, Manavalakurichi S.O"
629301,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chenbagaramanputhur B.O, Kumarapuram B.O, Aralvaymoli S.O"
629302,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Madavalayam B.O, Ramapuram B.O, Vellamadam B.O, Thovalai S.O"
629401,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Anjugramam B.O, James Town B.O, Pottakulam B.O, Variyoor B.O, Azhakappapuram S.O"
629402,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Eraviputhur B.O, Kumarapuramthoppur B.O, Marungoor S.O"
629403,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Kulasekharapuram B.O, Mayiladi S.O"
